prompt_id,model,device,variant,can_clone,run_index,is_cold,ttfa_ms,gen_s,audio_s,rtf,wall_s,ok,error
1,pocket,cpu,,gated,0,True,83.8,0.5682,2.56,4.51,4.779,True,
1,pocket,cpu,,gated,1,False,72.3,0.5101,2.24,4.39,0,True,
1,pocket,cpu,,gated,2,False,73.3,0.6179,2.8,4.53,0,True,
1,neutts_air,cpu,air,True,0,True,1220.8,3.0395,2.76,0.91,21.662,True,
1,neutts_air,cpu,air,True,1,False,541.4,2.2707,2.66,1.17,0,True,
1,neutts_air,cpu,air,True,2,False,519.6,1.9879,2.24,1.13,0,True,
1,neutts_nano,cpu,nano,True,0,True,712.7,1.3504,1.76,1.3,17.105,True,
1,neutts_nano,cpu,nano,True,1,False,332.5,0.9565,1.7,1.78,0,True,
1,neutts_nano,cpu,nano,True,2,False,368.4,0.9812,1.72,1.75,0,True,
1,luxtts,cpu,,True,0,True,,,,,0.058,False,load failed: ModuleNotFoundError: No module named 'luxtts'
1,chatterbox,cpu,,True,0,True,6498.9,6.4989,2.08,0.32,27.761,True,
1,chatterbox,cpu,,True,1,False,5116.1,5.1161,1.68,0.33,0,True,
1,chatterbox,cpu,,True,2,False,5454.0,5.454,1.76,0.32,0,True,
1,f5tts,cpu,,True,0,True,44162.3,44.1623,1.397,0.03,142.611,True,
1,f5tts,cpu,,True,1,False,44950.2,44.9502,1.397,0.03,0,True,
1,f5tts,cpu,,True,2,False,43720.1,43.7201,1.397,0.03,0,True,
1,coqui,cpu,,True,0,True,2836.6,2.8366,2.315,0.82,24.667,True,
1,coqui,cpu,,True,1,False,3782.1,3.7821,3.062,0.81,0,True,
1,coqui,cpu,,True,2,False,3042.0,3.042,2.497,0.82,0,True,
1,omnivoice,cpu,,True,0,True,7559.7,7.5597,2.28,0.3,28.754,True,
1,omnivoice,cpu,,True,1,False,7638.3,7.6383,2.28,0.3,0,True,
1,omnivoice,cpu,,True,2,False,7757.9,7.7579,2.28,0.29,0,True,
1,voxcpm,cpu,,True,0,True,2798.4,2.7984,1.92,0.69,15.558,True,
1,voxcpm,cpu,,True,1,False,2814.5,2.8145,2.0,0.71,0,True,
1,voxcpm,cpu,,True,2,False,2196.3,2.1963,1.6,0.73,0,True,
1,kokoro,cpu,,False,0,True,269.2,0.2692,2.65,9.84,6.144,True,
