prompt_id,model,device,variant,can_clone,run_index,is_cold,ttfa_ms,gen_s,audio_s,rtf,peak_mem_mb,peak_vram_mb,wall_s,ok,error
1,outetts,cuda,,True,0,True,11180.7,11.1807,3.64,0.33,2656.1,3067.9,42.187,True,
1,outetts,cuda,,True,1,False,9970.3,9.9703,3.36,0.34,2719.9,3055.4,0,True,
1,outetts,cuda,,True,2,False,10427.9,10.4279,3.28,0.31,2720.5,3049.9,0,True,
2,outetts,cuda,,True,0,True,22107.4,22.1074,7.0,0.32,2635.3,3246.6,75.775,True,
2,outetts,cuda,,True,1,False,20870.7,20.8707,6.92,0.33,2698.7,3243.0,0,True,
2,outetts,cuda,,True,2,False,21090.4,21.0904,6.84,0.32,2699.7,3238.7,0,True,
3,outetts,cuda,,True,0,True,51459.1,51.4591,16.6,0.32,2650.0,3755.7,164.667,True,
3,outetts,cuda,,True,1,False,49625.1,49.6251,16.293,0.33,2718.5,3738.3,0,True,
3,outetts,cuda,,True,2,False,51148.2,51.1482,16.826,0.33,2719.6,3769.2,0,True,
4,outetts,cuda,,True,0,True,23275.7,23.2757,7.52,0.32,2649.7,3275.3,81.109,True,
4,outetts,cuda,,True,1,False,24056.3,24.0563,8.04,0.33,2715.2,3301.8,0,True,
4,outetts,cuda,,True,2,False,22801.3,22.8013,7.653,0.34,2715.4,3282.7,0,True,
5,outetts,cuda,,True,0,True,17033.6,17.0336,5.346,0.31,2637.8,3158.9,60.629,True,
5,outetts,cuda,,True,1,False,16394.0,16.394,5.28,0.32,2702.0,3156.6,0,True,
5,outetts,cuda,,True,2,False,16288.9,16.2889,5.28,0.32,2701.6,3155.4,0,True,
