prompt_id,model,device,variant,can_clone,run_index,is_cold,ttfa_ms,gen_s,audio_s,rtf,peak_mem_mb,peak_vram_mb,wall_s,ok,error
1,fish_s2,cuda,,True,0,True,11436.4,11.4364,1.95,0.17,3911.4,20409.3,78.583,True,
1,fish_s2,cuda,,True,1,False,11368.5,11.3685,1.95,0.17,4028.9,20409.3,0,True,
1,fish_s2,cuda,,True,2,False,11352.0,11.352,1.95,0.17,4028.9,20409.3,0,True,
1,metavoice,cuda,,True,0,True,3525.2,3.5252,1.773,0.5,,7876.3,42.518,True,
1,metavoice,cuda,,True,1,False,2668.1,2.6681,1.8,0.67,,7875.1,0,True,
1,metavoice,cuda,,True,2,False,2366.5,2.3665,1.427,0.6,,7898.4,0,True,
1,step_editx,cuda,,True,0,True,3798.0,3.798,2.4,0.63,2943.1,5907.3,37.45,True,
1,step_editx,cuda,,True,1,False,3087.9,3.0879,2.76,0.89,2995.9,5914.2,0,True,
1,step_editx,cuda,,True,2,False,2748.5,2.7485,2.16,0.79,2997.2,5903.8,0,True,
2,fish_s2,cuda,,True,0,True,26746.9,26.7469,4.69,0.18,3911.6,20409.4,124.268,True,
2,fish_s2,cuda,,True,1,False,26669.2,26.6692,4.69,0.18,4028.6,20409.4,0,True,
2,fish_s2,cuda,,True,2,False,26661.4,26.6614,4.69,0.18,4028.6,20409.4,0,True,
2,metavoice,cuda,,True,0,True,6314.4,6.3144,4.187,0.66,,7909.6,51.2,True,
2,metavoice,cuda,,True,1,False,4973.1,4.9731,3.947,0.79,,7903.2,0,True,
2,metavoice,cuda,,True,2,False,5701.9,5.7019,4.48,0.79,,7911.8,0,True,
2,step_editx,cuda,,True,0,True,4981.9,4.9819,5.16,1.04,2905.4,5962.9,42.009,True,
2,step_editx,cuda,,True,1,False,4237.0,4.237,5.52,1.3,2961.1,5967.4,0,True,
2,step_editx,cuda,,True,2,False,4224.1,4.2241,5.28,1.25,2961.1,5964.3,0,True,
3,fish_s2,cuda,,True,0,True,81922.3,81.9223,14.582,0.18,3912.5,20409.5,292.107,True,
3,fish_s2,cuda,,True,1,False,81889.8,81.8898,14.582,0.18,4030.7,20409.5,0,True,
3,fish_s2,cuda,,True,2,False,81797.8,81.7978,14.582,0.18,4030.8,20409.5,0,True,
3,metavoice,cuda,,True,0,True,15433.9,15.4339,11.747,0.76,,8173.4,78.621,True,
3,metavoice,cuda,,True,1,False,14563.5,14.5635,11.747,0.81,,8173.5,0,True,
3,metavoice,cuda,,True,2,False,14546.9,14.5469,11.747,0.81,,8173.4,0,True,
3,step_editx,cuda,,True,0,True,10023.2,10.0232,16.08,1.6,2961.4,6249.1,57.286,True,
3,step_editx,cuda,,True,1,False,9996.2,9.9962,18.0,1.8,3031.6,6314.5,0,True,
3,step_editx,cuda,,True,2,False,8873.9,8.8739,15.72,1.77,3031.6,6238.0,0,True,
4,fish_s2,cuda,,True,0,True,38939.4,38.9394,6.873,0.18,3912.6,20409.4,161.122,True,
4,fish_s2,cuda,,True,1,False,38871.8,38.8718,6.873,0.18,4030.0,20409.4,0,True,
4,fish_s2,cuda,,True,2,False,38873.4,38.8734,6.873,0.18,4030.1,20409.4,0,True,
4,metavoice,cuda,,True,0,True,7500.3,7.5003,5.4,0.72,,7928.1,57.046,True,
4,metavoice,cuda,,True,1,False,7856.2,7.8562,6.36,0.81,,7955.4,0,True,
4,metavoice,cuda,,True,2,False,7200.2,7.2002,5.733,0.8,,7931.6,0,True,
4,step_editx,cuda,,True,0,True,6393.8,6.3938,8.04,1.26,2963.4,6026.1,44.583,True,
4,step_editx,cuda,,True,1,False,5595.1,5.5951,8.28,1.48,3022.2,6029.3,0,True,
4,step_editx,cuda,,True,2,False,4842.5,4.8425,6.84,1.41,3022.3,5996.8,0,True,
